"var","min","max","nunique","nulls"
"Visa_Fvencimiento",-2914237,4749,418,48838
"Visa_Finiciomora",0,269,96,968318
"Visa_msaldototal",-1218009.3,6496667.59,766963,48838
"Visa_msaldopesos",-920766.34,5323575.42,765628,48838
"Visa_msaldodolares",-915072.77,4232782.24,49415,48838
"Visa_mconsumospesos",-1849979.55,4323421.99,614223,133593
"Visa_mconsumosdolares",0,45268.61,19896,133593
"Visa_mlimitecompra",1011.71,17595000,563,48838
"Visa_madelantopesos",0,188853,231,133593
"Visa_madelantodolares",0,708,83,133593
"Visa_fultimo_cierre",-3,3388,58,49162
"Visa_mpagado",0,2639250,120099,48838
"Visa_mpagospesos",-7691583.11,311131.86,673530,133593
"Visa_mpagosdolares",0,45270.39,13850,133593
"Visa_fechaalta",1,12728,10822,48838
"Visa_mconsumototal",-1849979.55,4323421.99,614223,133593
"Visa_cconsumos",0,241,159,133593
"Visa_cadelantosefectivo",0,35,22,133593
"Visa_mpagominimo",0,4066755.81,12033,48838
